"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC","LCSC Part","Manufacturer","Mfr. Part"
"AE1","1","Antenna","DNP","Excluded from BOM","Excluded from board","","https://www.lcsc.com/datasheet/C1509192.pdf","","C1509192","",""
"C1","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/C83170.pdf","","C83170","","CC0805KRX7R9BB103"
"C2,C5,C8","3","100nF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/C49678.pdf","","C49678","","CC0805KRX7R9BB104"
"C3","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/C437557.pdf","","C437557","","GRM21BZ71H475KE15L"
"C4,C13","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/C440198.pdf","","C440198","","GRM21BR61H106KE43L"
"C6,C7","2","22uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/C6119901.pdf","","C6119901","","CGA0805X5R226M350MT"
"C9,C12","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/C28323.pdf","","C28323","","CL21B105KBFNNNE"
"FB1","1","600","","","","Inductor_SMD:L_0805_2012Metric","https://www.lcsc.com/datasheet/C21519.pdf","","C21519","","MPZ2012S601AT000"
"FB2","1","4.7uH","","","","Capacitor_SMD:C_1210_3225Metric","https://www.lcsc.com/datasheet/C19190305.pdf","","","","SRP3212A-4R7M"
"J1,J2","2","Conn_01x16_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","https://www.lcsc.com/datasheet/C2905421.pdf","","C19190305","","KH-2.54FH-1X16P-H8.5"
"J3","1","Conn_01x04_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","https://www.lcsc.com/datasheet/C2718488.pdf","","C2718488","","2.54-1*4P"
"J5","1","KH-IPEXA-SMAKWE-B080H","","","","easyeda2kicad:CONN-TH_KH-IPEX-SMAKWE","https://www.lcsc.com/datasheet/C2919724.pdf","","C2919724","","KH-IPEXA-SMAKWE-B080H"
"LED1","1","ST","","","","LED_SMD:LED_0805_2012Metric","https://www.lcsc.com/datasheet/C84260.pdf","","C84260","","NCD0805G1"
"R1,R2","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric","https://www.lcsc.com/datasheet/C27834.pdf","","C27834","","0805W8F5101T5E"
"R3,R5,R7","3","10k","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/C84376.pdf","","C84376","","RC0805FR-0710KL"
"R4","1","2.2k","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/C17520.pdf","","C17520","","0805W8F2201T5E"
"SW1","1","boot","","","","easyeda2kicad:SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0-2","https://lcsc.com/product-detail/Tactile-Switches_XUNPU-TS-1002S-04526C_C455109.html","","C455109","","TS-1002S-04526C"
"SW2","1","reset","","","","easyeda2kicad:SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0-2","https://lcsc.com/product-detail/Tactile-Switches_XUNPU-TS-1002S-04526C_C455109.html","","C455109","","TS-1002S-04526C"
"TVS1","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://lcsc.com/product-detail/Diodes-ESD_STMicroelectronics_USBLC6-2SC6_USBLC6-2SC6_C7519.html","","C7519","","USBLC6-2SC6"
"U1","1","ADT7310TRZ","","","","easyeda2kicad:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","https://www.lcsc.com/datasheet/C660039.pdf","","C660039","","ADT7310TRZ"
"U2","1","3.3V","","","","Package_TO_SOT_SMD:TSOT-23-6","https://www.lcsc.com/datasheet/C780769.pdf","","C780769","","AP63203WU-7"
"U3","1","ESP32-C5-WROOM-1U-N8-R4","","","","easyeda2kicad:COMM-SMD_32P-L21.2-W18.0_ESP32-C5-WROOM-1U","https://www.lcsc.com/datasheet/C49308183.pdf","","C49308183","","ESP32-C5-WROOM-1U-N8R4"
"USBC1","1","TYPE-C 16PIN 2MD(073)","","","","pwa:USB-C-SMD_TYPE-C-6PIN-2MD-073","https://www.lcsc.com/datasheet/C2765186.pdf","","C2765186","","TYPE-C 16PIN 2MD(073)"
